name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Spellweaver Eternal||Hour of Devastation||HOU||430735||Creature — Zombie Naga Wizard||2||1||||{1}{U}||2||Jason Felix||#_"They were once our brothers and sisters."£—Etha, former Rhet-crop initiate_#||U||||46||C||5||£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Prowess #_(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)_#£Afflict 2 #_(Whenever this creature becomes blocked, defending player loses 2 life.)_#||||||||||1||True||||46||织咒永生者||織咒永生者||Éternelle tisse-sort||Spruchweber-Verewigte||Tessimagie Eterna||呪文織りの永遠衆||Eterna Tece-mágicas||Вековечная Заклинательница||Eterna tejehechizos||주문결속 영생자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Steadfast Sentinel||Hour of Devastation||HOU||430713||Creature — Human Cleric||2||3||||{3}{W}||4||Karl Kopinski||||W||||24||C||5||£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.||||Vigilance£Eternalize {4}{W}{W} #_({4}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Cleric with no mana cost. Eternalize only as a sorcery.)_#||||||||||1||True||||24||坚定的哨卫||堅定的哨衛||Sentinelle inébranlable||Standhafter Wachposten||Sentinella Determinata||不動の歩哨||Sentinela Resoluta||Непреклонная Стражница||Centinela resuelta||굳건한 보초||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Steward of Solidarity||Hour of Devastation||HOU||430714||Creature — Human Warrior||2||2||||{1}{W}||2||Sara Winters||#_In the midst of disaster, heroic acts became almost ordinary, and ordinary warriors became heroes._#||W||||25||U||5||£4/18/2017 : You can’t exert a creature unless an effect allows you to do so. Similar effects that “tap and freeze” a creature (such as that of Decision Paralysis) don’t exert that creature.£4/18/2017 : If an exerted creature is already untapped during your next untap step (most likely because it had vigilance or an effect untapped it), exert’s effect preventing it from untapping expires without having done anything.£4/18/2017 : If you gain control of another player’s creature until end of turn and exert it, it will untap during that player’s untap step.£6/27/2017 : Some cards in the Hour of Devastation set let you exert a creature as a cost to activate one of its abilities. You can exert it to pay that cost even if you’ve already exerted it earlier in the turn. Exerting it multiple times will keep it tapped only during your next untap step.||||{T}, Exert Steward of Solidarity: Create a 1/1 white Warrior creature token with vigilance. #_(An exerted creature won't untap during your next untap step.)_#||||||||||1||True||||25||齐心护卫||齊心護衛||Intendante de solidarité||Verfechterin des Zusammenhalts||Guardiana della Fratellanza||結束に仕える者||Guardiã da Solidariedade||Служительница Сплоченности||Protectora de la solidaridad||결속의 관리인||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Strategic Planning||Hour of Devastation||HOU||430736||Sorcery||||||||{1}{U}||2||Matt Stewart||#_"Bolas remade this place in his image. He has the advantage here. We must approach carefully."£—Jace Beleren_#||U||||47||C||5||£10/1/2009 : If there are fewer than three cards in your library, you look at all of them, put one of them into your hand, and put the rest into your graveyard.||||Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.||||||||||4||False||||47||战略计划||戰略計劃||Planification stratégique||Strategische Planung||Piano Strategico||巧みな軍略||Planejamento Estratégico||Стратегическое Планирование||Planificación estratégica||전략 수립||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Striped Riverwinder||Hour of Devastation||HOU||430737||Creature — Serpent||5||5||||{6}{U}||7||Craig J Spearing||#_The denizens of the Luxa River woke angry on the currents of blood._#||U||||48||C||5||||||Hexproof #_(This creature can't be the target of spells or abilities your opponents control.)_#£Cycling {U} #_({U}, Discard this card: Draw a card.)_#||||||||||1||True||||48||斑纹河蛇||斑紋河蛇||Crotale des rivières tigré||Gestreifte Flussschlange||Rivospiro Striato||縞カワヘビ||Cascavel-do-rio Listrada||Полосатый Речной Змей||Deslizador de río listado||줄무늬 구불이무기||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Struggle // Survive||Hour of Devastation||HOU||430840||Instant // Sorcery||||||||{2}{R} // {1}{G}||3 // 2||Eric Deschamps // Eric Deschamps||||R // G||||151||U // U||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.||||Struggle deals damage to target creature equal to the number of lands you control.£ // £Aftermath #_(Cast this spell only from your graveyard. Then exile it.)_#£Each player shuffles his or her graveyard into his or her library.||||||||||1||True||||151||挣扎 // 求存||掙扎 // 求存||Lutter // Survivre||Ringen // Überleben||Lotta // Sopravvivenza||捲土 // 重来||Lutar // Sobrevivência||||Esforzarse // Sobrevivir||항쟁 // 생존||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GR||True||||||||||||||||||||||||||||
Sunscourge Champion||Hour of Devastation||HOU||430715||Creature — Human Wizard||2||3||||{2}{W}||3||Josu Hernaiz||||W||||26||U||5||£6/27/2017 : The amount of life you gain is determined as Sunscourge Champion’s triggered ability resolves. Players may respond to the ability by attempting to change its power.£6/27/2017 : If Sunscourge Champion leaves the battlefield before its triggered ability resolves, use its power as it last existed on the battlefield to determine how much life to gain. If that number is negative, you don’t gain any life and you don’t lose any life.£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.£6/27/2017 : If the card copied by the token had any “when [this permanent] enters the battlefield” abilities, then the token also has those abilities and will trigger them when it’s created. Similarly, any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities that the token has copied will also work.£6/27/2017 : Several cards have an eternalize cost that includes “Discard a card.” You can’t discard the card with eternalize to pay its own cost because the card has to be in your graveyard to begin activating its eternalize ability.||||When Sunscourge Champion enters the battlefield, you gain life equal to its power.£Eternalize—{2}{W}{W}, Discard a card. #_({2}{W}{W}, Discard a card, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Wizard with no mana cost. Eternalize only as a sorcery.)_#||||||||||1||True||||26||日焰鞭斗士||日焰鞭鬥士||Championne au fléau solaire||Sonnengeißel-Champion||Campionessa del Flagello Solare||陽光鞭の勇者||Campeã do Flagelo Solar||Воительница Солнечных Кнутов||Campeona del flagelo solar||태양재앙 투사||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Sunset Pyramid||Hour of Devastation||HOU||430855||Artifact||||||||{2}||2||Jonas De Ro||#_Decades to build. Hours to demolish._#||A||||166||U||5||||||Sunset Pyramid enters the battlefield with three brick counters on it.£{2}, {T}, Remove a brick counter from Sunset Pyramid: Draw a card.£{2}, {T}: Scry 1.||||||||||1||True||||166||日落金字塔||日落金字塔||Pyramide du couchant||Pyramide der Abenddämmerung||Piramide del Tramonto||黄昏のピラミッド||Pirâmide do Pôr do Sol||Пирамида Заката||Pirámide del ocaso||소멸하는 피라미드||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Supreme Will||Hour of Devastation||HOU||430738||Instant||||||||{2}{U}||3||Alayna Danner||||U||||49||U||5||||||Choose one —£• Counter target spell unless its controller pays {3}.£• Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.||||||||||1||True||||49||最高意志||最高意志||Volonté suprême||Höchster Wille||Volontà Suprema||至高の意志||Vontade Suprema||Высшая Воля||Voluntad suprema||지고한 의지||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Survivors' Encampment||Hour of Devastation||HOU||430873||Land — Desert||||||||||0||Jonas De Ro||#_"What will happen to us?" they asked.£The vizier paused. "I think . . . I think that's up to us now."_#||L||{W}{U}{B}{R}{G}{C}||184||C||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.£6/27/2017 : To activate the last ability, you may tap any untapped creature you control, including one you haven’t controlled continuously since the beginning of your most recent turn. (Note that tapping the creature doesn’t use {T} [the tap symbol].)||||{T}: Add {C} to your mana pool.£{T}, Tap an untapped creature you control: Add one mana of any color to your mana pool.||||||||||1||True||||184||遗民营地||遺民營地||Campement des survivants||Lager der Überlebenden||Accampamento dei Superstiti||生存者の野営地||Acampamento dos Sobreviventes||Лагерь Уцелевших||Campamento de los supervivientes||생존자의 야영지||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Swamp||Hour of Devastation||HOU||430876||Basic Land — Swamp||||||||||0||Clint Cearley||||L||{B}||187||C||5||||1||{B}||||||||||359||False||||187||沼泽||沼澤||Marais||Sumpf||Palude||沼||Pântano||Болото||Pantano||늪||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Swarm Intelligence||Hour of Devastation||HOU||430739||Enchantment||||||||{6}{U}||7||Daniel Ljunggren||#_The Locust God's children were numberless, relentlessly eating away every trace of the city's protection._#||U||||50||R||5||£6/27/2017 : Swarm Intelligence can copy any instant or sorcery spell, not just one with targets.£6/27/2017 : Swarm Intelligence can copy the spell even if it’s countered before Swarm Intelligence’s triggered ability resolves.£6/27/2017 : The copy is created on the stack, so it’s not “cast.” Abilities that trigger when a player casts a spell (such as Swarm Intelligence’s own ability) won’t trigger.£6/27/2017 : The copy will have the same targets as the spell it’s copying unless you choose new ones. You may change any number of the targets, including all of them or none of them. If, for one of the targets, you can’t choose a new legal target, then it remains unchanged (even if the current target is illegal).£6/27/2017 : If the spell that’s copied is modal (that is, it says “Choose one —” or the like), the copy will have the same mode. A different mode can’t be chosen.£6/27/2017 : If the spell that’s copied has an X whose value was determined as it was cast (like Torment of Hailfire does), the copy will have the same value of X.£6/27/2017 : If the spell has damage divided as it was cast (like Chandra’s Pyrohelix), the division can’t be changed (although the targets receiving that damage still can).£6/27/2017 : The controller of a copy can’t choose to pay any alternative or additional costs for the copy. However, effects based on any alternative or additional costs that were paid for the original spell are copied as though those same costs were paid for the copy.||||Whenever you cast an instant or sorcery spell, you may copy that spell. You may choose new targets for the copy.||||||||||1||True||||50||虫群智慧||蟲群智慧||Intelligence de l'essaim||Schwarmintelligenz||Intelligenza dello Sciame||大群の諜報||Inteligência do Enxame||Разум Роя||Inteligencia de enjambre||곤충떼의 지성||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Tenacious Hunter||Hour of Devastation||HOU||430825||Creature — Crocodile||4||4||||{2}{G}{G}||4||Zezhou Chen||#_The crocodiles of the Broken Lands, long used to feeding on undead flesh, eagerly flooded into Naktamun for a taste of something fresher._#||G||||136||U||5||£6/27/2017 : A creature with a -1/-1 counter on it controlled by any player satisfies Tenacious Hunter’s ability.£6/27/2017 : If Tenacious Hunter loses vigilance after attacking, it will remain untapped.||||As long as a creature has a -1/-1 counter on it, Tenacious Hunter has vigilance and deathtouch.||||||||||1||True||||136||顽强捕食鳄||頑強捕食鱷||Chasseur acharné||Beharrlicher Jäger||Cacciatore Tenace||強靭な狩り手||Caçador Tenaz||Упорный Охотник||Cazador perseverante||집요한 사냥꾼||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
The Locust God||Hour of Devastation||HOU||430828||Legendary Creature — God||4||4||||{4}{U}{R}||6||Lius Lasahido||||UR||||139||M||5||£6/27/2017 : If a spell or ability causes you to put cards into your hand without specifically using the word “draw,” The Locust God’s first triggered ability won’t trigger.£6/27/2017 : If this creature dies but leaves your graveyard before the next end step, it will remain in its new zone.£6/27/2017 : The “next end step” refers to the next end step that occurs, not the end step of the next turn. If this creature dies before a turn’s end step (for example, during combat), it will be returned to its owner’s hand at the beginning of that turn’s end step.||||Flying£Whenever you draw a card, create a 1/1 blue and red Insect creature token with flying and haste.£{2}{U}{R}: Draw a card, then discard a card.£When The Locust God dies, return it to its owner's hand at the beginning of the next end step.||||||||||2||False||||139||蝗虫神||蝗蟲神||Le Dieu-Sauterelle||Die Heuschrecken-Gottheit||La Locusta Divina||蝗の神||O Deus Gafanhoto||Бог-Саранча||El Dios Langosta||메뚜기 신||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UR||True||||||||||||||||||||||||||||
The Scarab God||Hour of Devastation||HOU||430834||Legendary Creature — God||5||5||||{3}{U}{B}||5||Lius Lasahido||||UB||||145||M||5||£6/27/2017 : The number of Zombies you control is counted as The Scarab God’s first ability resolves. Players can try to change that number in response to the ability (perhaps by activating its second ability).£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics it specifically modifies. It doesn’t copy any information about the object the card was before it was put into its owner’s graveyard.£6/27/2017 : The token is a Zombie instead of its other types (unlike Zombies created by an eternalize ability) and is black instead of its other colors. Its power and toughness are 4/4. These are copiable values of the token that other effects may copy.£6/27/2017 : Unlike the tokens created by an eternalize ability, this token has the mana cost and thus converted mana cost of the card it’s copying.£6/27/2017 : If the card copied by the token had any “when [this permanent] enters the battlefield” abilities, then the token also has those abilities and will trigger them when it’s created. Similarly, any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities that the token has copied will also work.£6/27/2017 : In a Two-Headed Giant game, The Scarab God’s first ability causes the opposing team to lose life equal to twice the number of Zombies you control, although you scry only equal to the number of Zombies you control.£6/27/2017 : If this creature dies but leaves your graveyard before the next end step, it will remain in its new zone.£6/27/2017 : The “next end step” refers to the next end step that occurs, not the end step of the next turn. If this creature dies before a turn’s end step (for example, during combat), it will be returned to its owner’s hand at the beginning of that turn’s end step.||||At the beginning of your upkeep, each opponent loses X life and you scry X, where X is the number of Zombies you control.£{2}{U}{B}: Exile target creature card from a graveyard. Create a token that's a copy of it, except it's a 4/4 black Zombie.£When The Scarab God dies, return it to its owner's hand at the beginning of the next end step.||||||||||2||False||||145||甲虫神||甲蟲神||Le Dieu-Scarabée||Die Skarabäen-Gottheit||Lo Scarabeo Divino||スカラベの神||O Deus Escaravelho||Бог-Скарабей||El Dios Escarabajo||딱정벌레 신||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UB||True||||||||||||||||||||||||||||
The Scorpion God||Hour of Devastation||HOU||430835||Legendary Creature — God||6||5||||{3}{B}{R}||5||Lius Lasahido||||RB||||146||M||5||£6/27/2017 : You’ll draw only one card when a creature with more than one -1/-1 counter on it dies.£6/27/2017 : If a creature with a -1/-1 counter on it dies at the same time as The Scorpion God does, you’ll draw a card. The same is true if The Scorpion God dies with a -1/-1 counter on it.£6/27/2017 : If this creature dies but leaves your graveyard before the next end step, it will remain in its new zone.£6/27/2017 : The “next end step” refers to the next end step that occurs, not the end step of the next turn. If this creature dies before a turn’s end step (for example, during combat), it will be returned to its owner’s hand at the beginning of that turn’s end step.||||Whenever a creature with a -1/-1 counter on it dies, draw a card.£{1}{B}{R}: Put a -1/-1 counter on another target creature.£When The Scorpion God dies, return it to its owner's hand at the beginning of the next end step.||||||||||2||False||||146||毒蝎神||毒蠍神||Le Dieu-Scorpion||Die Skorpion-Gottheit||Lo Scorpione Divino||蠍の神||O Deus Escorpião||Бог-Скорпион||El Dios Escorpión||전갈 신||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BR||True||||||||||||||||||||||||||||
Thorned Moloch||Hour of Devastation||HOU||430797||Creature — Lizard||2||2||||{2}{R}||3||James Paick||#_Those who fled the destruction of the city stumbled into the territory of their prickly neighbors._#||R||||108||C||5||||||Prowess #_(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)_#£Thorned Moloch has first strike as long as it's attacking.||||||||||1||True||||108||锐角棘蜥||銳角棘蜥||Diable cornu épineux||Dorneneidechse||Moloc Spinoso||棘モロク||Moloch Espinhento||Шипастый Молох||Moloc espinoso||가시돋친 도마뱀||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Torment of Hailfire||Hour of Devastation||HOU||430766||Sorcery||||||||{X}{B}{B}||2||Grzegorz Rutkowski||#_"Your God-Pharaoh has returned."_#||B||||77||R||5||£6/27/2017 : If X is 0, Torment of Hailfire resolves with no effect.£6/27/2017 : While resolving Torment of Hailfire, your opponent chooses a card to be discarded without revealing it, chooses a nonland permanent to be sacrificed, or chooses to do neither. Then that player discards that card, sacrifices that permanent, or loses 3 life, then repeats this process if it hasn’t been done X times yet. Your opponent can always choose to lose 3 life, even if he or she has cards to discard or nonland permanents to sacrifice.£6/27/2017 : Each repetition through this process is done separately. If an opponent sacrifices a creature with an ability that triggers when another creature dies, for example, it will see creatures that are sacrificed before it, but not those are sacrificed after it.£6/27/2017 : State-based actions aren’t checked in between repetitions of this process, so the game state may be a little unusual while making the choice. For example, a player may sacrifice a creature and then later sacrifice an Aura that was attached to that creature.£6/27/2017 : In a multiplayer game, each opponent in turn order makes his or her choice once, then all of the actions occur simultaneously, then they repeat this process if it hasn’t been done X times yet. Opponents will know choices made by earlier opponents when making their choices, although a card chosen to be discarded this way isn’t revealed until it’s discarded.£6/27/2017 : In a Two-Headed Giant game, Torment of Hailfire causes both opponents to sacrifice a nonland permanent, discard a card, or lose 3 life X times. Your opponents can choose the same torment or different ones each time.||||Repeat the following process X times. Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.||||||||||1||True||||77||火雹灾难||火雹災難||Tourment de grêle de feu||Plage des Hagelfeuers||Piaga della Grandine di Fuoco||霰炎の責め苦||Tormento de Granizo Flamejante||Пытка Огненным Градом||Tormento de diluvio ardiente||우박불이 주는 고통||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Torment of Scarabs||Hour of Devastation||HOU||430767||Enchantment — Aura Curse||||||||{3}{B}||4||Bastien L. Deharme||#_Like a carpet unrolling for their god, the scarabs poured out from the necropolis._#||B||||78||U||5||£6/27/2017 : While resolving the triggered ability of Torment of Scarabs, the enchanted player chooses a card to be discarded without revealing it, chooses a nonland permanent to be sacrificed, or chooses to do neither. Then that player discards that card, sacrifices that permanent, or loses 3 life. That player can always choose to lose 3 life, even if he or she has cards to discard or nonland permanents to sacrifice.||||Enchant player£At the beginning of enchanted player's upkeep, that player loses 3 life unless he or she sacrifices a nonland permanent or discards a card.||||||||||1||True||||78||圣甲虫灾难||聖甲蟲災難||Tourment de scarabées||Plage der Skarabäen||Piaga degli Scarabei||スカラベの責め苦||Tormento de Escaravelhos||Пытка Скарабеями||Tormento de escarabajos||딱정벌레가 주는 고통||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Torment of Venom||Hour of Devastation||HOU||430768||Instant||||||||{2}{B}{B}||4||Johann Bodin||#_The Scorpion God's sting sends venom strong enough to poison blood, bone, and spirit._#||B||||79||C||5||£6/27/2017 : If the target creature is an illegal target by the time Torment of Venom resolves, the entire spell is countered. The creature’s controller won’t be tormented.£6/27/2017 : Because state-based actions aren’t performed while Torment of Venom is resolving, the target creature is still on the battlefield while its controller is tormented. If that creature has an Aura attached to it, that Aura can be sacrificed.£6/27/2017 : While resolving Torment of Venom, the creature’s controller chooses a card to be discarded without revealing it, chooses a nonland permanent to be sacrificed, or chooses to do neither. Then that player discards that card, sacrifices that permanent, or loses 3 life. That player can always choose to lose 3 life, even if he or she has cards to discard or nonland permanents to sacrifice.||||Put three -1/-1 counters on target creature. Its controller loses 3 life unless he or she sacrifices another nonland permanent or discards a card.||||||||||1||True||||79||剧毒灾难||劇毒災難||Tourment de venin||Plage der Gifte||Piaga del Veleno||毒の責め苦||Tormento de Veneno||Пытка Отравой||Tormento de veneno||맹독이 주는 고통||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Tragic Lesson||Hour of Devastation||HOU||430740||Instant||||||||{2}{U}||3||Joseph Meehan||#_Though Kefnet's followers feverishly searched his last words for some final riddle, they found only the gurgles of a dying god._#||U||||51||C||5||£6/27/2017 : You don’t choose which land to return to its owner’s hand or whether to discard a card instead until you see the two cards you draw.||||Draw two cards. Then discard a card unless you return a land you control to its owner's hand.||||||||||1||True||||51||悲痛教训||悲痛教訓||Leçon tragique||Tragische Lektion||Lezione Tragica||悲劇的教訓||Lição Trágica||Трагический Урок||Lección trágica||비극적인 가르침||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Traveler's Amulet||Hour of Devastation||HOU||430856||Artifact||||||||{1}||1||Marco Nelor||#_"Why wander in search of a new home when the path is laid out before you?"£—Pytamun, former Nef-crop initiate_#||A||||167||C||5||||||{1}, Sacrifice Traveler's Amulet: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.||||||||||3||False||||167||旅人护身符||旅人護身符||Amulette du voyageur||Amulett des Reisenden||Amuleto del Viaggiatore||旅行者の護符||Amuleto do Viajante||Амулет Путешественника||Amuleto del viajero||여행자의 부적||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Uncage the Menagerie||Hour of Devastation||HOU||430826||Sorcery||||||||{X}{G}{G}||2||Simon Dominic||#_The destruction of Rhonas's monument released his collection upon the city._#||G||||137||M||5||£6/27/2017 : If you cast Uncage the Menagerie with X as 0, you’ll search your library and shuffle it, but you won’t be able to find any cards.£6/27/2017 : For cards in your library with {X} in their mana costs, X is considered to be 0.||||Search your library for up to X creature cards with different names that each have converted mana cost X, reveal them, put them into your hand, then shuffle your library.||||||||||1||True||||137||放生兽群||放生獸群||Libération de la ménagerie||Lasst die Bestien los||Liberare il Serraglio||生類解放||Soltar o Bestiário||Выпустить Зверинец||Liberar a las fieras||야생 동물 해방||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Unconventional Tactics||Hour of Devastation||HOU||430716||Sorcery||||||||{2}{W}||3||Jason Felix||||W||||27||U||5||||||Target creature gets +3/+3 and gains flying until end of turn.£Whenever a Zombie enters the battlefield under your control, you may pay {W}. If you do, return Unconventional Tactics from your graveyard to your hand.||||||||||1||True||||27||变例战术||變例戰術||Tactiques peu conventionnelles||Unkonventionelle Taktik||Tattiche Inconsuete||型破りな戦術||Táticas Não Convencionais||Непривычная Тактика||Táctica poco convencional||파격적인 전술||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
